"","program_name","dementia_specific","certification","occupancy","county","adminfirstname","adminlastname","phone","fax1","email","location_1","location_1_address","location_1_city","location_1_state","location_1_zip","zip5","zip9","coords","lat","long"
"28","Wesley the Village","No","S0212",28,"Warren","Jim","Clindaniel","(515) 961-7458","(515) 961-0898","jclindaniel@wesleylife.org","POINT (-93.743829 40.745389)","1203 North E Street","Indianola","Iowa",501253276,50125,501253276,NA,NA,NA
"29","Landsmeer Ridge Retirement Comm","No","S0037",44,"Sioux","Rob ","Gotto","(712) 737-8947","(712) 737-8934","gottor@ochealthsystem.org","POINT (-96.043067 43.012091)","1007 7th Street, NE","Orange City","Iowa",510411190,51041,510411190,NA,NA,NA
"30","Maple Manor Village","No","S0048",36,"Butler","Sharon","Quail","(319) 347-1502","(319) 347-6347","squail@abcmcorp.com","POINT (-92.875046 42.584014)","343 Parriott","Aplington","Iowa",506041063,50604,506041063,NA,NA,NA
"31","Prairie Hills at Cedar Rapids","No","S0277",86,"Linn","Cheri","Schultz","(319) 390-7700","(319) 390-3347","edcedarrapids@symphonyseniorliving.com","POINT (-91.710552 41.979949)","2903 F Avenue NW","Cedar Rapids","Iowa",52405,52405,52405,NA,NA,NA
"32","Pioneer Place AL","Yes","S0061",42,"Johnson","Chris","Wolf","(319) 629-4255","(319) 629-4505","lthccadmin@lthcc.com","POINT (-91.422957 41.481522)","415 E Pioneer Rd","Lone Tree","Iowa",527559709,52755,527559709,NA,NA,NA
"33","Gardens @ Cherokee","No","S0278",68,"Cherokee","Jana","Utesch","(712) 225-2999","(712) 225-6290","manager.cherokee@gardenslifestyle.com","POINT (-95.551215 42.770711)","1610 Highway 3","Cherokee","Iowa",51012,51012,51012,NA,NA,NA
"34","Windsor Manor Vinton","Yes","S0254",72,"Benton","Lisa","Staab","(319) 472-2060","(319) 472-2112","lisa.staab@windsor-manor.com","POINT (-92.044955 42.166651)","1807 West 5th Street","Vinton","Iowa",523492474,52349,523492474,NA,NA,NA
"35","Bickford Cottage Burlington","Yes","S0011",55,"Des Moines","Julie","Hoschek","(319) 754-7500","(319) 754-0447","Julie.hoschek@enrichinghappiness.com","POINT (-91.143022 40.799424)","3301 Sterling Dr","Burlington","Iowa",526018660,52601,526018660,NA,NA,NA
"36","Vriendschap Village No","Yes","S0167",82,"Marion","Lori","Garrard","(641) 628-9043","(641) 628-4259","lgarrard@watermarkcommunities.com","POINT (-92.953868 41.407339)","2604 Fifield Road","Pella","Iowa",502197925,50219,502197925,NA,NA,NA
"37","Pennington Square","No","S0110",48,"Jones","Tammy","Gillmore","(319) 465-2013","","tammy.gillmore@yahoo.com; dchensvold@yahoo.com 
","POINT (-91.184563 42.228211)","502 Pinehaven Dr","Monticello","Iowa",523102062,52310,523102062,NA,NA,NA
"38","Maggie's House Assisted Living","No","S0089",40,"Clinton","JoElla","O'Connell","(563) 659-1678","(563) 659-1618","joconnell@maggieshouse.com","POINT (-90.531871 41.816978)","107 E 2nd","DeWitt","Iowa",527422140,52742,527422140,NA,NA,NA
"39","Vista Prairie at Fieldcrest AL","Yes","S0135",152,"O'Brien","Joshua","Von holdt","(712) 324-2338","(712) 324-5331","joshuavonholdt@vistaprairie.org","POINT (-95.825498 43.182375)","2501 East 6th Street","Sheldon","Iowa",512011763,51201,512011763,NA,NA,NA
"40","SunnyBrook of Muscatine","Yes","S0288",100,"Muscatine","Monte","Priske","(563) 263-5108","(563) 264-6069","administrator@sunnybrookmuscatine.com","POINT (-91.078726 41.447409)","3515 Diana Queen Drive","Muscatine","Iowa",52761,52761,52761,NA,NA,NA
"41","Sitler Center for Helpful Living","Yes","S0005",52,"Washington","Chris","Marshall","(319) 653-7264","(319) 653-8383","cmarshall@wesleylife.org","POINT (-91.691878 41.289012)","1015 S Iowa Ave","Washington","Iowa",523531126,52353,523531126,NA,NA,NA
"42","Suites of Ankeny","No","S0357",68,"Polk","Tricia","Heberer","(515) 635-0936","(515) 635-0967","theberer@sunnyviewcarecenter.com","POINT (-93.610029 41.735417)","420 NW Ash Drive","Ankeny","Iowa",50021,50021,50021,NA,NA,NA
"43","Bickford Cottage Clinton","Yes","S0010",65,"Clinton","Kim ","Schaffer","(563) 242-2400","(563) 242-7620","kim.schaffer@enrichinghappiness.com","POINT (-90.213883 41.859318)","1150 13th Ave N","Clinton","Iowa",527323402,52732,527323402,NA,NA,NA
"44","River Ridge & Gardens at Friendship Haven","Yes","S0198",165,"Webster","Brett","Asay","(515) 573-2121","(515) 573-6077","brett.asay@friendshiphaven.org","POINT (-94.207517 42.484352)","420 Kenyon Road","Fort Dodge","Iowa",505015749,50501,505015749,NA,NA,NA
"45","Homestead of Knoxville Memory Care Center","Yes","S0322",24,"Marion","Kristi","Zellmer","(641) 842-3986","(641) 842-3988","kzellmer@homesteadofknoxville.com","POINT (-93.119045 41.313398)","711 South Willetts Drive","Knoxville","Iowa",50138,50138,50138,NA,NA,NA
"46","Welcov at Spirit Lake","No","S0025",53,"Dickinson","Kathleen","Johnson","(712) 336-3553","(712) 336-4478","kathleen.biittner@welcov.com","POINT (-95.116932 43.418353)","1819 23rd St","Spirit Lake","Iowa",513607096,51360,513607096,NA,NA,NA
"47","Char Mac AL of Lawton","No","S0074",50,"Woodbury","Jeanine ","Chartier","(712) 944-4893","(712) 944-4853","charmacj@wiatel.net","POINT (-96.182681 42.474983)","200 E Char-Mac Dr","Lawton","Iowa",510308171,51030,510308171,NA,NA,NA
"48","Park Place Estates","No","S0021",60,"Plymouth","Sandra","Reuter","(712) 546-6793","(712) 546-8085","ppe@floydvalley.org","POINT (-96.150211 42.799863)","900 Lincoln St NE","LeMars","Iowa",510313345,51031,510313345,NA,NA,NA
"49","Rose Vista Assisted Living","No","S0156",15,"Harrison","Noel ","Sherer","(712) 647-2010","(712) 647-3235","sherers@rosevista.net","POINT (-95.709967 41.743775)","1108 Park Street, Po Box 6","Woodbine","Iowa",515790006,51579,515790006,NA,NA,NA
"50","Melrose Meadows Retirement Community","No","S0159",52,"Johnson","Jody","Thomas","(319) 341-7893","(319) 248-1183","jthomas.mm@mchsi.com","POINT (-91.585879 41.655916)","350 Dublin Drive","Iowa City","Iowa",522466013,52246,522466013,NA,NA,NA
"51","Leahy Grove Independent and Assisted Living","No","S0305",32,"Franklin","Morgan","Prestholt","(641) 456-2701","(641) 456-5180","mallbee@abcmcorp.com","POINT (-93.204948 42.735937)","800 Second Street SE","Hampton","Iowa",504412626,50441,504412626,NA,NA,NA
"52","Arbor Heights at University","No","S0072",25,"Polk","Terry","Cooper","(515) 284-1280","(515) 284-0127","terry.cooper@pcitexas.net","POINT (-93.621109 41.600418)","233 University Ave","Des Moines","Iowa",503143124,50314,503143124,NA,NA,NA
"53","Hawkeye AL","No","S0294",18,"Kossuth","Jeanne","Kinney","(515) 885-2463","(515) 885-2759","jkinney@hawkeyecare.com","POINT (-94.20907 43.292911)","548 East Ramsey","Bancroft","Iowa",50517,50517,50517,NA,NA,NA
"54","Winding Creek Meadows","No","S0338",48,"Buchanan","Rochelle","Kane","(319) 827-1052","(319) 827-1058","Rochelle.kane@westernhome.org","POINT (-92.059055 42.473988)","1044 9th Street","Jesup","Iowa",50648,50648,50648,NA,NA,NA
"55","Belle Haven Independent and Assisted Living","No","S0291",32,"Wright","Carla","Mahler","(641) 444-3915","(641) 444-7122","cmahler@abcmcorp.com","POINT (-93.602408 42.851882)","815 Luicks Lane North","Belmond","Iowa",504217664,50421,504217664,NA,NA,NA
"56","Colonial Estates","No","S0311",18,"Louisa","Sarah","Hand","(319) 728-2276","(319) 728-8998","shand@colonialmanors.com","POINT (-91.370511 41.272409)","815 Colonial Lane","Columbus Junction","Iowa",52738,52738,52738,NA,NA,NA
"57","Rosebush Gardens","No","S0067",72,"Des Moines","Cheryl","Thoma","(319) 752-1200","(319) 752-5800","rosebushgardens1@gmail.com","POINT (-91.16217 40.796996)","4925 West Ave","Burlington","Iowa",526010000,52601,526010000,NA,NA,NA
"58","Heritage at Fox Run Assisted Living","No","S0193",132,"Pottawattamie","Ron","Perry","(712) 256-2741","(712) 256-7609","rperry@foxrunassisted.com","POINT (-95.894405 41.211216)","3121 MacIneery Drive","Council Bluffs","Iowa",51501,51501,51501,NA,NA,NA
"59","Afton Oaks AL","No","S0094",20,"Howard","Bill","Byerly","(641) 393-2134","(641) 393-2004","bbyerly@abcmcorp.com","POINT (-92.446425 43.243914)","405 9th St","Elma","Iowa",506288376,50628,506288376,NA,NA,NA
"60","Deerfield Retirement Community, Inc.","No","S0362",40,"Polk","Amy","LaCroix","(515) 331-6903","(515) 331-6955","amy.lacroix@lifespacecommunities.com","POINT (-93.807994 41.614977)","13731 Hickman Road","Urbandale","Iowa",50323,50323,50323,NA,NA,NA
"61","Country Manor Memory Care","Yes","S0017",36,"Scott","Nichole","Will","(563) 391-1111","(563) 391-6267","nwill@countrymanormc.com","POINT (-90.586824 41.567544)","900 W 46th St","Davenport","Iowa",528060000,52806,528060000,NA,NA,NA
"62","Ellen Kennedy Living Center","No","S0155",64,"Dubuque","Kari ","Wittmeyer","(563) 875-6323","(563) 875-6268","wittmeyk@mercyhealth.com","POINT (-91.134226 42.475735)","1177 7th Street SW","Dyersville","Iowa",520402513,52040,520402513,NA,NA,NA
"63","Vintage Hills Retirement Community","Yes","S0314",130,"Warren","Lyn","Hilgenberg","(515) 961-1924","(515) 961-1956","lhilgenberg@watermarkcommunities.com","POINT (-93.553527 41.380114)","604 E. Hillcrest Avenue","Indianola","Iowa",501251759,50125,501251759,NA,NA,NA
"64","Assisi Village Assisted Living","No","S0301",44,"Dubuque","Lisa","Crawford","(563) 583-8234","(563) 583-8398","lcrawford@stonehilldbq.com","POINT (-90.670899 42.533482)","1001 Assisi Drive","Dubuque","Iowa",520011312,52001,520011312,NA,NA,NA
"65","Northwood Pines","No","S0271",32,"Worth","Susan","Nelson","(641) 324-0061","(641) 324-0062","susan.nelson@northwoodLRH.org","POINT (-93.218429 43.451761)","700 10th Street, North","Northwood","Iowa",504591004,50459,504591004,NA,NA,NA
"66","Turner Pointe Assisted Living","No","S0246",18,"Clayton","Deanna","Kahler","(563) 873-3527","(563) 873-3723","dkahlergrcc@gmail.com ","POINT (-91.190071 43.020897)","1203 Buell Avenue","McGregor","Iowa",521577501,52157,521577501,NA,NA,NA
"67","Prairie Hills at Des Moines","Yes","S0299",128,"Polk","Patti","Hayes","(515) 256-9143","(515) 287-2945","eddesmoines@symphonyseniorliving.com","POINT (-93.56603 41.531043)","5815 SE 27th Street","Des Moines","Iowa",503209319,50320,503209319,NA,NA,NA
"68","Keystone Place at Forevergreen","Yes","S0360",152,"Johnson","Mary Jo","Pipkin","(319) 459-1964","(319) 459-1967","mjpipkin@keystonesenior.com","POINT (-91.619345 41.723195)","1275 West Forevergreen Road","North Liberty","Iowa",52317,52317,52317,NA,NA,NA
"69","Senior Suites of Urbandale","No","S0098",98,"Polk","Dee ","Luttenegger","(515) 270-9700","(515) 270-9582","dlutt@mchsi.com","POINT (-93.733206 41.645608)","4700 84th St","Urbandale","Iowa",503227352,50322,503227352,NA,NA,NA
"70","Ashbrook Assisted Living","No","S0143",82,"Hardin","Julie","Feeney","(641) 648-8080","(641) 648-8076","jfeeney@slcif.com ","POINT (-93.261052 42.527019)","1121 Fremont Street","Iowa Falls","Iowa",501261389,50126,501261389,NA,NA,NA
"71","Senior Star at Elmore Place NoD","Yes","S0292",50,"Scott","Amanda","Buchholz","(563) 359-0100","(563) 359-3331","abuchholz@seniorstar.com","POINT (-90.524646 41.566488)","4504 Elmore Avenue","Davenport","Iowa",52807,52807,52807,NA,NA,NA
"72","Terrace AL of Hillcrest Home, Inc.","No","S0363",32,"Bremer","Amanda","Warnke","(563) 578-8591","(563) 578-8091","awarnkealdirector@outlook.com","POINT (-92.110037 42.847432)","915 West 1st Street","Sumner","Iowa",50674,50674,50674,NA,NA,NA
"73","Rose of East Des Moines","No","S0282",128,"Polk","Mary Alice","Mullin","(515) 883-1000","(515) 244-3460","roseofedmadmin@rosecommunities-alf.com; Rosepersonnel@rosecommunities-alf.com; roseoperations@rosecommunities-alf.com","POINT (-93.599036 41.603179)","1331 Idaho Street","Des Moines","Iowa",503162463,50316,503162463,NA,NA,NA
"74","Lutheran Home Apts","No","S0034",36,"Benton","Christine","Smith","(319) 472-2092","(319) 472-3070","c.smith@lhaa-e.org","POINT (-92.023044 42.157915)","1413 2nd Ave","Vinton","Iowa",523491695,52349,523491695,NA,NA,NA
"75","Village Ridge","Yes","S0026",104,"Linn","Diana","Niemeier","(319) 377-9808","(319) 377-9821","diana@marionvillages.com","POINT (-91.614611 42.029373)","365 Marion Blvd","Marion","Iowa",523023139,52302,523023139,NA,NA,NA
"76","Mica Hill Estates","No","S0097",28,"Sioux","Melodee ","Wilkens","(712) 551-1074","(712) 551-2393","mwilkens@ensigngroup.net","POINT (-96.480132 43.009561)","2121 Ave L","Hawarden","Iowa",510231361,51023,510231361,NA,NA,NA
"77","Rose of Des Moines","No","S0223",104,"Polk","Jill","Clements","(515) 244-3300","(515) 271-7453","roseofdmadmin@rosecommunities-alf.com; Rosepersonnel@rosecommunities-alf.com; roseoperations@rosecommunities-alf.com","POINT (-93.642632 41.603664)","1330 19TH STREET","DES MOINES","Iowa",503145000,50314,503145000,NA,NA,NA
"78","Gardens at Luther Park","Yes","S0241",100,"Polk","Julie","Reed","(515) 262-5639","(515) 266-2688","jreed@lutherparkcommunity.org","POINT (-93.594455 41.621585)","2910 E. 16th Street","Des Moines","Iowa",503161825,50316,503161825,NA,NA,NA
"79","Arlington Place of Oelwein","Yes","S0157",54,"Fayette","Brett","Ingersoll","(319) 283-3334","(319) 283-3510","managerow@arlingtonplaceretirement.com","POINT (-91.930889 42.674613)","1101 3rd Street SW","Oelwein","Iowa",506622001,50662,506622001,NA,NA,NA
"80","Prime Assisted Living","No","S0197",54,"Plymouth","Jean","Parrish","(712) 548-5488","(712) 546-6299","primelivingjp@frontiernet.net","POINT (-96.167786 42.794391)","108 1st Avenue NW","LeMars","Iowa",510313542,51031,510313542,NA,NA,NA
"81","Stanard Family Assisted Living Center, Inc.","No","S0036",170,"Blackhawk","Ronda","Eick","(319) 277-2141","(319) 277-5158","ronda.eick@westernhome.org","POINT (-92.441166 42.528672)","420 E 11th St","Cedar Falls","Iowa",506133364,50613,506133364,NA,NA,NA
"82","Willow Dale Independent & Assisted Living","No","S0180",20,"Ida","Mary Ellen","Carr","(712) 365-4338","(712) 365-4855","mcarr@abcmcorp.com","POINT (-95.597923 42.316476)","118 North Ida Street","Battle Creek","Iowa",510069425,51006,510069425,NA,NA,NA
"83","Oakland Heights","No","S0070",24,"Pottawattamie","Sammarra","Smith","(712) 482-3566","(712) 482-3609","ssmith@mgmhealthcare.com","POINT (-95.385769 41.31609)","904 N Scenic Dr","Oakland","Iowa",515604070,51560,515604070,NA,NA,NA
"84","Homestead of Chariton","No","S0233",70,"Lucas","Kristen","Milledge","(641) 774-2303","(641) 774-2515","kmilledge@midwest-health.com","POINT (-93.301958 41.026924)","1110 North 6th Street","Chariton","Iowa",500491265,50049,500491265,NA,NA,NA
"85","Crown Pointe","No","S0125",44,"Sioux","Laurel","Clarey","(712) 722-8260","(712) 722-8269","laurel.clarey@siouxcenterhealth.org","POINT (-96.16575 43.060947)","1400 7th Ave. SE","Sioux Center","Iowa",512501199,51250,512501199,NA,NA,NA
"86","West Liberty AL Residences","No","S0118",36,"Muscatine","Shelley","Wicks","(319) 627-4775","(319) 627-4738","swicks@simpsonhome.org","POINT (-91.259059 41.578372)","1000 North Miller Street","West Liberty","Iowa",527761102,52776,527761102,NA,NA,NA
"87","Kentucky Ridge Neighborhood AL","No","S0153",120,"Cerro Gordo","Jean ","Palmer","(641) 423-5707","(641) 423-5710","vangrouwj@usa.net","POINT (-93.181254 43.133163)","2060 Kentucky Avenue South","Mason City","Iowa",504017129,50401,504017129,NA,NA,NA
"88","Bickford Cottage Muscatine","Yes","S0009",56,"Muscatine","Mindy","Rowe","(563) 263-6600","(563) 263-4310","mindy.rowe@enrichinghappiness.com","POINT (-91.076947 41.435957)","2807 Cedar St","Muscatine","Iowa",527612276,52761,527612276,NA,NA,NA
"89","Sunset Park Place Company LLC","Yes","S0127",101,"Dubuque","Jerry","Bell","(563) 583-7939","(563) 583-2982","jerry@sunsetparkplace.net","POINT (-90.733177 42.500748)","3730 Pennsylvania Ave","Dubuque","Iowa",520023701,52002,520023701,NA,NA,NA
"90","Griswold Care Center AL","No","S0188",20,"Cass","Jean","Kerber","(712) 778-2534","(712) 778-2675","griswold@tutera.com","POINT (-95.134516 41.236657)","106 Harrison Street","Griswold","Iowa",515358042,51535,515358042,NA,NA,NA
"91","Rock Rapids PE, LLC","No","S0047",39,"Lyon","Payten","Steffen","(712) 472-4100","(712) 472-4231","admin.rrcc@trilliumhcg.com","POINT (-96.172738 43.418176)","1510 S Carroll","Rock Rapids","Iowa",512462078,51246,512462078,NA,NA,NA
"92","Woodland Park Assisted Living","No","S0253",32,"Jones","Dallas","Urbain","(319) 462-2668","(319) 462-5038","woodlandparkanamosa@gmail.com; shejda@assistedlivingpartners.com","POINT (-91.272107 42.104774)","1207 East Third Street","Anamosa","Iowa",522051569,52205,522051569,NA,NA,NA
"93","SunnyBrook of Mt. Pleasant","Yes","S0208",70,"Henry","Jennifer","Millard","(319) 385-7227","(319) 385-3909","Administrator@sunnybrookmtpleasant.com","POINT (-91.526843 40.951718)","1406 East Linden Drive","Mt. Pleasant","Iowa",526411891,52641,526411891,NA,NA,NA
"94","White Oak Estates","No","S0134",24,"Mahaska","Clarice","Wright","(641) 673-4443","(641) 672-2522","whiteoak@iowatelecom.net","POINT (-92.63063 41.302338)","914 N. 12th St.","Oskaloosa","Iowa",525772416,52577,525772416,NA,NA,NA
"95","Park Centre","No","S0201",32,"Jasper","Jasmine","Farver","(641) 791-5000","(641) 791-4522","jyoder@wesleylife.org","POINT (-93.053623 41.703595)","500 1st Street North","Newton","Iowa",502083119,50208,502083119,NA,NA,NA
"96","Sunrise Assisted Living Suites","No","S0297",30,"Tama","Linda","Bevins","(319) 478-2730","(319) 478-2728","linda.sunrisehill@mediacombb.net","POINT (-92.459576 42.18796)","599 Taylor Street","Traer","Iowa",50675,50675,50675,NA,NA,NA
"97","Donald Lundak Assisted Living Center","Yes","S0345",24,"Howard","Cambria","Bullerman","(563) 547-1194","(563) 547-4274","health_services@countrywindsmanor.com","POINT (-92.145821 43.400175)","21668 80th St.","Cresco","Iowa",52136,52136,52136,NA,NA,NA
"98","Prairie Vista Village","No","S0342",68,"Polk","Mika","Welling","(515) 967-8700","(515) 967-6824","executivedirector@prairievistavillage.com","POINT (-93.46465 41.624775)","2785 1st Avenue South","Altoona","Iowa",50009,50009,50009,NA,NA,NA
"99","Faith Home Assisted Living","No","S0231",28,"Mitchell","Aimee","Krebsbach","(641) 832-2580","(641) 832-2582","aimeek.faith@gmail.com","POINT (-92.808398 43.276663)","912 Davidson Drive","Osage","Iowa",504611482,50461,504611482,NA,NA,NA
"100","Windsor Manor AL","Yes","S0352",72,"Emmet","Patty","Youll","(712) 362-0171","(712) 362-0034","patty.youll@windsor-manor.com","POINT (-94.815272 43.40442)","2015 3rd Avenue North","Estherville","Iowa",51334,51334,51334,NA,NA,NA
"101","Hansen House","Yes","S0330",52,"Pottawattamie","Cassie","Erwin","(712) 242-5734","(712) 323-9715","hansenhousellc@cox.net","POINT (-95.878434 41.274473)","2331 Nash Boulevard","Council Bluffs","Iowa",51501,51501,51501,NA,NA,NA
"102","Edgewater Assisted Living","Yes","S0296",96,"Dallas","Heidi","Baker","(515) 978-2400","(515) 978-2436","hbaker@WesleyLife.org","POINT (-93.833196 41.556922)","9250 Edgeline Drive","West Des Moines","Iowa",50266,50266,50266,NA,NA,NA
"103","Hawkeye AL","No","S0298",44,"Dickinson","Daren","Butcher","(712) 338-4742","(712) 338-2281","dbutcher@hawkeyecare.com","POINT (-95.158232 43.328846)","1401 H Avenue","Milford","Iowa",51351,51351,51351,NA,NA,NA
"104","Eagle Pointe Place","No","S0348",138,"Dubuque","Megan","Pedersen","(563) 690-1900","(563) 690-0600","mpedersen@enlivant.com; alclicense@enlivant.com","POINT (-90.731463 42.520854)","2700 Matthew John Drive","Dubuque","Iowa",52002,52002,52002,NA,NA,NA
"105","SunnyBrook of Burlington","Yes","S0287",100,"Des Moines","Josh","Beelman","(319) 752-0260","(319) 754-8782","Administrator@sunnybrookburlington.com; 
nurse@sunnybrookburlington.com","POINT (-91.169277 40.796968)","5175 West Avenue","Burlington","Iowa",52601,52601,52601,NA,NA,NA
"106","Vintage Hills at Prairie Trail","Yes","S0326",108,"Polk","Kristen","Canham","(515) 963-4000","(515) 639-2130","kcanham@watermarkcommunities.com","POINT (-93.619632 41.717859)","1275 SW State Street","Ankeny","Iowa",50023,50023,50023,NA,NA,NA
"107","Windsor Manor Shenandoah","Yes","S0328",70,"Page","Mitch","Fall","(712) 246-2194","(712) 246-6182","mitch.fall@windsor-manor.com
","POINT (-95.35884 40.760943)","601 Harrison Street","Shenandoah","Iowa",51601,51601,51601,NA,NA,NA
