"","State","County","FIPS","zip5","NAICSDESCR","long","lat","phone_loc","level","specialty","license","Name","Owner"
"45","IA","Sioux","19167",51027,"FIRE AND RESCUE SERVICE",-96.3193313,42.9751055,"YES","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","IRETON RESCUE SQUAD","CITY/MUNICIPAL"
"46","IA","Woodbury","19193",51111,"AMBULANCE AND FIRE SERVICE COMBINED",-96.376789,42.3964386,"NO","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","185TH AIR NATIONAL GUARD FIGHTER WING FIRE DEPARTMENT - DOD","FIRE"
"47","IA","Plymouth","19149",51031,"FIRE AND RESCUE SERVICE",-96.1659969,42.7790197,"YES","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","LE MARS FIRE RESCUE DEPARTMENT STATION 2","NOT AVAILABLE"
"48","IA","Woodbury","19193",51039,"AMBULANCE AND FIRE SERVICE COMBINED",-96.07543,42.4885105,"YES","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","MOVILLE FIRE DEPARTMENT","NOT AVAILABLE"
"49","IA","Union","19175",50801,"AMBULANCE AND FIRE SERVICE COMBINED",-94.373142,41.06125,"YES","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","CRESTON FIRE DEPARTMENT","LOCAL"
"50","IA","Henry","19087",52659,"FIRE AND RESCUE SERVICE",-91.438989,41.1299559,"YES","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","WINFIELD FIRE AND RESCUE","FIRE"
"51","IA","Henry","19087",52649,"FIRE AND RESCUE SERVICE",-91.6217812,40.8535178,"YES","FIRST RESPONDER","NOT AVAILABLE","NOT AVAILABLE","SALEM FIRE AND RESCUE","FIRE"
"52","IA","Taylor","19173",50836,"AMBULANCE AND FIRE SERVICE COMBINED",-94.4797391,40.61619,"NO","EMT INTERMEDIATE","NOT AVAILABLE","NOT AVAILABLE","BLOCKTON FIRE DEPARTMENT AND AMBULANCE SERVICE","CITY/MUNICIPAL"
"53","IA","Page","19145",51638,"FIRE AND RESCUE SERVICE",-95.3076435,40.8332029,"YES","EMT PARAMEDIC","NOT AVAILABLE","NOT AVAILABLE","ESSEX FIRE RESCUE","FIRE"
"54","IA","Clarke","19039",50174,"AMBULANCE AND FIRE SERVICE COMBINED",-93.9505166,41.0415652,"YES","FIRST RESPONDER","NOT AVAILABLE","NOT AVAILABLE","MURRAY FIRE DEPARTMENT","FIRE"
"55","IA","Lee","19111",52656,"AMBULANCE AND FIRE SERVICE COMBINED",-91.4499888,40.7197808,"NO","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","WEST POINT VOLUNTEER FIRE DEPARTMENT","FIRE"
"56","IA","Page","19145",51636,"FIRE AND RESCUE SERVICE",-95.2324048,40.6559055,"NO","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","COIN VOLUNTEER FIRE AND RESCUE","FIRE"
"57","IA","Des Moines","19057",52655,"AIR AMBULANCE SERVICES",-91.1738763,40.8106314,"YES","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","MEDFORCE AEROMEDICAL TRANSPORT - BASE 2","NOT AVAILABLE"
"58","IA","Lucas","19117",50151,"AMBULANCE AND FIRE SERVICE COMBINED",-93.4613211,41.0283621,"YES","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","LUCAS VOLUNTEER FIRE DEPARTMENT","FIRE"
"59","IA","Taylor","19173",50840,"AMBULANCE AND FIRE SERVICE COMBINED",-94.4765427,40.8009322,"NO","EMT INTERMEDIATE","NOT AVAILABLE","NOT AVAILABLE","CLEARFIELD FIRE DEPARTMENT","FIRE"
"60","IA","Lee","19111",52619,"FIRE AND RESCUE SERVICE",-91.5678426,40.5314265,"YES","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","DES MOINES TOWNSHIP FIRE AND RESCUE","FIRE"
"61","IA","Appanoose","19007",52594,"AMBULANCE SERVICES, AIR OR GROUND",-92.6970304,40.8193777,"NO","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","UNIONVILLE FIRST RESPONDER","OTHER"
"62","IA","Decatur","19053",50262,"AMBULANCE SERVICES, AIR OR GROUND",-93.7962663,40.8693522,"YES","EMT INTERMEDIATE","NOT AVAILABLE","NOT AVAILABLE","VAN WERT EMERGENCY MEDICAL SERVICES","FIRE"
"63","IA","Des Moines","19057",52655,"AMBULANCE SERVICES, AIR OR GROUND",-91.1741096,40.8101232,"YES","EMT PARAMEDIC","NOT AVAILABLE","NOT AVAILABLE","SUPERIOR AMBULANCE SERVICE","HOSPITAL"
"64","IA","Taylor","19173",51646,"AMBULANCE AND FIRE SERVICE COMBINED",-94.8998222,40.7316004,"YES","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","NEW MARKET VOLUNTEER FIRE DEPARTMENT","FIRE"
"65","IA","Wapello","19179",52501,"AMBULANCE AND FIRE SERVICE COMBINED",-92.4220601,41.0065274,"YES","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","OTTUMWA CITY FIRE DEPARTMENT - SOUTH STATION","NOT AVAILABLE"
"66","IA","Decatur","19053",50108,"AMBULANCE SERVICES, AIR OR GROUND",-93.9625798,40.8182071,"NO","EMT INTERMEDIATE","NOT AVAILABLE","NOT AVAILABLE","GRAND RIVER EMERGENCY MEDICAL SERVICES","FIRE"
"67","IA","Mills","19129",51571,"AMBULANCE SERVICES, AIR OR GROUND",-95.6377755,41.1150482,"YES","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","SILVER CITY AMBULANCE SERVICE","FIRE"
"68","IA","Decatur","19053",50140,"AMBULANCE SERVICES, AIR OR GROUND",-93.9346397,40.623939,"NO","EMT PARAMEDIC","NOT AVAILABLE","NOT AVAILABLE","LAMONI EMERGENCY MEDICAL SERVICES","CITY/MUNICIPAL"
"69","IA","Lee","19111",52627,"AIR AMBULANCE SERVICES",-91.3837383,40.6244914,"YES","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","AIR EVAC LIFETEAM","NOT AVAILABLE"
"70","IA","Lee","19111",52632,"AMBULANCE AND FIRE SERVICE COMBINED",-91.3911325,40.400957,"YES","FIRST RESPONDER","NOT AVAILABLE","NOT AVAILABLE","KEOKUK FIRE DEPARTMENT","FIRE"
"71","IA","Decatur","19053",50264,"AMBULANCE SERVICES, AIR OR GROUND",-93.7354069,40.8988536,"NO","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","WELDON EMERGENCY MEDICAL SERVICES","NOT AVAILABLE"
"72","IA","Page","19145",51632,"AMBULANCE AND FIRE SERVICE COMBINED",-95.0372394,40.7589538,"YES","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","CLARINDA TREATMENT COMPLEX FIRE DEPARTMENT","STATE GOVERNMENT"
"73","IA","Decatur","19053",50144,"AMBULANCE AND FIRE SERVICE COMBINED",-93.7473526,40.7398037,"NO","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","LEON FIRE DEPARTMENT","LOCAL"
"74","IA","Clarke","19039",50275,"FIRE AND RESCUE SERVICE",-93.5974147,41.0114398,"YES","EMT INTERMEDIATE","NOT AVAILABLE","NOT AVAILABLE","WOODBURN FIRE RESCUE DEPARTMENT","FIRE"
"75","IA","Mills","19129",51561,"AMBULANCE SERVICES, AIR OR GROUND",-95.7985127,41.0188236,"YES","EMT PARAMEDIC","NOT AVAILABLE","NOT AVAILABLE","PACIFIC JUNCTION VOLUNTEER AMBULANCE","CITY/MUNICIPAL"
"76","IA","Wapello","19179",52536,"AMBULANCE AND FIRE SERVICE COMBINED",-92.637467,40.9653398,"YES","EMT PARAMEDIC","NOT AVAILABLE","NOT AVAILABLE","BLAKESBURG FIRE DEPARTMENT","CITY/MUNICIPAL"
"77","IA","Fremont","19071",51653,"AMBULANCE SERVICES, AIR OR GROUND",-95.670928,40.8980134,"NO","EMT PARAMEDIC","NOT AVAILABLE","NOT AVAILABLE","TABOR VOLUNTEER AMBULANCE","CITY/MUNICIPAL"
"78","IA","Adams","19003",50859,"AMBULANCE AND FIRE SERVICE COMBINED",-94.6111004,41.0233351,"YES","EMT INTERMEDIATE","NOT AVAILABLE","NOT AVAILABLE","PRESCOTT VOLUNTEER FIRE DEPARTMENT","FIRE"
"79","IA","Appanoose","19007",52572,"AMBULANCE SERVICES, AIR OR GROUND",-92.6767565,40.6845651,"YES","EMT PARAMEDIC","NOT AVAILABLE","NOT AVAILABLE","MOULTON VOLUNTEER AMBULANCE SERVICE","FIRE"
"80","IA","Page","19145",51637,"AMBULANCE AND FIRE SERVICE COMBINED",-95.1205683,40.6206971,"NO","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","COLLEGE SPRINGS VOLUNTEER FIRE DEPARTMENT","FIRE"
"81","IA","Van Buren","19177",52620,"AMBULANCE AND FIRE SERVICE COMBINED",-91.8024389,40.6989977,"YES","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","BONAPARTE FIRE DEPARTMENT","CITY/MUNICIPAL"
"82","IA","Montgomery","19137",51566,"AMBULANCE AND FIRE SERVICE COMBINED",-95.2322747,41.021286,"YES","EMT PARAMEDIC","NOT AVAILABLE","NOT AVAILABLE","RED OAK FIRE DEPARTMENT","FIRE"
"83","IA","Lucas","19117",50049,"AMBULANCE SERVICES, AIR OR GROUND",-93.3284659,41.0264492,"NO","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","JOHNSON MACHINE WORKS SQUAD 2","NOT AVAILABLE"
"84","IA","Monroe","19135",50150,"AMBULANCE SERVICES, AIR OR GROUND",-92.9078831,41.1341539,"YES","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","LOVILIA FIRST RESPONDERS","FIRE"
"85","IA","Clarke","19039",50213,"AMBULANCE AND FIRE SERVICE COMBINED",-93.7672679,41.0353116,"YES","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","OSCEOLA VOLUNTEER FIRE DEPARTMENT","LOCAL"
"86","IA","Henry","19087",52630,"FIRE AND RESCUE SERVICE",-91.7133367,40.8356565,"NO","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","HILLSBORO FIRE AND RESCUE","FIRE"
"87","IA","Fremont","19071",51649,"FIRE AND RESCUE SERVICE",-95.5656758,40.8721582,"YES","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","RANDOLPH VOLUNTEER FIRE AND RESCUE","CITY/MUNICIPAL"
"88","IA","Henry","19087",52647,"AMBULANCE AND FIRE SERVICE COMBINED",-91.5437549,41.1339562,"YES","FIRST RESPONDER","NOT AVAILABLE","NOT AVAILABLE","OLDS FIRE DEPARTMENT","FIRE"
"89","IA","Lucas","19117",50272,"AMBULANCE AND FIRE SERVICE COMBINED",-93.2558693,41.0893834,"YES","BASIC","NOT AVAILABLE","NOT AVAILABLE","WILLIAMSON FIRE DEPARTMENT","FIRE"
"90","IA","Lee","19111",52625,"AMBULANCE AND FIRE SERVICE COMBINED",-91.5647767,40.644113,"YES","EMT PARAMEDIC","NOT AVAILABLE","NOT AVAILABLE","DONNELLSON FIRE ASSOCIATION","FIRE"
"91","IA","Henry","19087",52644,"AMBULANCE AND FIRE SERVICE COMBINED",-91.392583,41.0568344,"NO","FIRST RESPONDER","NOT AVAILABLE","NOT AVAILABLE","MOUNT UNION FIRE DEPARTMENT","FIRE"
"92","IA","Des Moines","19057",52655,"AMBULANCE AND FIRE SERVICE COMBINED",-91.1569297,40.8237501,"YES","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","WEST BURLINGTON VOLUNTEER FIRE DEPARTMENT","FIRE"
"93","IA","Des Moines","19057",52623,"AMBULANCE AND FIRE SERVICE COMBINED",-91.3160608,40.8666005,"YES","EMT PARAMEDIC","NOT AVAILABLE","NOT AVAILABLE","DANVILLE FIRE DEPARTMENT","FIRE"
"94","IA","Des Moines","19057",52601,"AMBULANCE AND FIRE SERVICE COMBINED",-91.1048544,40.8097494,"YES","EMT PARAMEDIC","NOT AVAILABLE","NOT AVAILABLE","BURLINGTON FIRE DEPARTMENT STATION 1","FIRE"
"95","IA","Lee","19111",52631,"FIRE AND RESCUE SERVICE",-91.6068966,40.7838918,"NO","EMT INTERMEDIATE","NOT AVAILABLE","NOT AVAILABLE","HOUGHTON FIRE AND RESCUE","FIRE"
"96","IA","Fremont","19071",51654,"FIRE AND RESCUE SERVICE",-95.7475606,40.8196037,"YES","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","THURMAN FIRE AND RESCUE DEPARTMENT","FIRE"
"97","IA","Jefferson","19101",52635,"FIRE AND RESCUE SERVICE",-91.7519628,40.9944652,"YES","FIRST RESPONDER","NOT AVAILABLE","NOT AVAILABLE","LOCKRIDGE FIRE AND RESCUE","CITY/MUNICIPAL"
"98","IA","Union","19175",50149,"AMBULANCE AND FIRE SERVICE COMBINED",-94.0550126,41.1278599,"YES","FIRST RESPONDER","NOT AVAILABLE","NOT AVAILABLE","LORIMOR EMERGENCY MEDICAL TRAINED FIRST RESPONDERS / LORIMOR FIRE DEPARTMENT","CITY/MUNICIPAL"
"99","IA","Page","19145",51601,"AMBULANCE SERVICES, AIR OR GROUND",-95.3695271,40.7526748,"NO","EMT PARAMEDIC","NOT AVAILABLE","NOT AVAILABLE","SHENANDOAH AMBULANCE SERVICE","HOSPITAL"
"100","IA","Mills","19129",51551,"RESCUE SERVICES, MEDICAL",-95.5854672,41.00315,"YES","EMT PARAMEDIC","NOT AVAILABLE","NOT AVAILABLE","MALVERN VOLUNTEER RESCUE INCORPORATED","CITY/MUNICIPAL"
"101","IA","Mills","19129",51561,"RESCUE SERVICES, MEDICAL",-95.8174908,41.0216821,"YES","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","ROLLING THUNDER RESCUE","OTHER"
"102","IA","Louisa","19115",52646,"AMBULANCE AND FIRE SERVICE COMBINED",-91.0435896,41.1000988,"YES","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","OAKVILLE FIRE DEPARTMENT","FIRE"
"103","IA","Des Moines","19057",52601,"AMBULANCE AND FIRE SERVICE COMBINED",-91.117036,40.7851393,"YES","NOT AVAILABLE","NOT AVAILABLE","NOT AVAILABLE","BURLINGTON FIRE DEPARTMENT STATION 2","NOT AVAILABLE"
"104","IA","Jefferson","19101",52580,"FIRE AND RESCUE SERVICE",-92.0845285,41.1324303,"NO","FIRST RESPONDER","NOT AVAILABLE","NOT AVAILABLE","PACKWOOD FIRE AND RESCUE INCORPORATED","CITY/MUNICIPAL"
"105","IA","Fremont","19071",51639,"FIRE AND RESCUE SERVICE",-95.4815249,40.7189331,"NO","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","FARRAGUT FIRE AND RESCUE","FIRE"
"106","IA","Montgomery","19137",50864,"AMBULANCE SERVICES, AIR OR GROUND",-94.9768565,40.9298097,"NO","EMT INTERMEDIATE","NOT AVAILABLE","NOT AVAILABLE","VILLISCA AMBULANCE SERVICE","FIRE"
"107","IA","Taylor","19173",50851,"AMBULANCE SERVICES, AIR OR GROUND",-94.5587608,40.8789306,"YES","EMT INTERMEDIATE","NOT AVAILABLE","NOT AVAILABLE","LENOX AMBULANCE SERVICE","CITY/MUNICIPAL"
"108","IA","Lee","19111",52625,"AMBULANCE SERVICES, AIR OR GROUND",-91.5635554,40.6368787,"NO","EMT PARAMEDIC","NOT AVAILABLE","NOT AVAILABLE","LEE COUNTY EMERGENCY MEDICAL SERVICES","COUNTY/PRIVATE"
"109","IA","Des Moines","19057",52637,"AMBULANCE SERVICES, AIR OR GROUND",-91.1658773,41.0076374,"YES","EMT PARAMEDIC","NOT AVAILABLE","NOT AVAILABLE","MEDIAPOLIS COMMUNITY AMBULANCE","PRIVATE"
"110","IA","Wayne","19185",50123,"AMBULANCE SERVICES, AIR OR GROUND",-93.4968896,40.8587442,"YES","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","HUMESTON FIRST RESPONDERS","FIRE"
"111","IA","Louisa","19115",52640,"AMBULANCE SERVICES, AIR OR GROUND",-91.2547345,41.0966863,"YES","EMT INTERMEDIATE","NOT AVAILABLE","NOT AVAILABLE","MORNING SUN COMMUNITY AMBULANCE","CITY/MUNICIPAL"
"112","IA","Ringgold","19159",50860,"AMBULANCE SERVICES, AIR OR GROUND",-94.3912982,40.6048051,"YES","EMT BASIC","NOT AVAILABLE","NOT AVAILABLE","MALOY / REDDING FIRST RESPONSE TEAM","CITY/MUNICIPAL"
"113","IA","Appanoose","19007",52544,"AMBULANCE SERVICES, AIR OR GROUND",-92.8594429,40.7170459,"YES","FIRST RESPONDER","NOT AVAILABLE","NOT AVAILABLE","CURWOOD INCORPORATED EMERGENCY RESPONSE TEAM","OTHER"
