"","county_number","county","aea","district_nces_code","district_number","district_name","school_nces_code","district_school_id","school_name","grade_start","grade_end","administrator","administrator_title","mailing_address","po_box","mailing_city","mailing_zip_code","phone_number","fax_number","email_address","physical_location","zip5","coords","public","type","geometry"
"11",91,"Warren",11,1914640,3114,"Indianola  Comm School District",191464000875,431,"Indianola Middle School",6,8,"Annette Jauron","Principal","403 S 15th St","","Indianola","50125",5159619530,5159619535,"annette.jauron@indianola.k12.ia.us","POINT (-93.539753 41.35544)","50125","(-93.539753 41.35544)",TRUE,"Middle",c(-93.539753, 41.35544)
"12",85,"Story",11,1903540,225,"Ames  Comm School District",190354001906,961,"Northwood Pre-School",0,0,"Kristin Barber","Principal","3012 Duff Avenue","","Ames","50010",5152682470,5152682475,"kristin.barber@ames.k12.ia.us","POINT (-93.618975 42.051193)","50010","(-93.618975 42.051193)",TRUE,"Elementary",c(-93.618975, 42.051193)
"13",98,"Worth",7,1921210,4788,"Northwood-Kensett  Comm School District",192121001271,109,"Northwood-Kensett Jr-Sr High School",7,12,"Keith Fritz","Principal","704 7th St N","PO Box 289","Northwood","50459-0289",6413242142,6413242174,"kfritz@nkvikings.com","POINT (-93.222279 43.454252)","50459","(-93.222279 43.454252)",TRUE,"High",c(-93.222279, 43.454252)
"14",98,"Worth",7,1921210,4788,"Northwood-Kensett  Comm School District",192121001271,109,"Northwood-Kensett Jr-Sr High School",7,12,"Keith Fritz","Principal","704 7th St N","PO Box 289","Northwood","50459-0289",6413242142,6413242174,"kfritz@nkvikings.com","POINT (-93.222279 43.454252)","50459","(-93.222279 43.454252)",TRUE,"Middle",c(-93.222279, 43.454252)
"15",77,"Polk",11,1908970,1737,"Des Moines Independent  Comm School District",190897000540,236,"Harding Middle School",6,8,"Joy Linquist","Principal","203 E Euclid Ave","","Des Moines","50313",5152428445,5152443566,"joy.linquist@dmschools.org","POINT (-93.616215 41.627682)","50313","(-93.616215 41.627682)",TRUE,"Middle",c(-93.616215, 41.627682)
"16",77,"Polk",11,1903690,261,"Ankeny  Comm School District",190369000148,447,"Northeast Elementary",0,5,"Tara Owen","Principal","1705 NE Trilein","","Ankeny","50021-0189",5159659620,5159659621,"tara.owen@ankenyschools.org","POINT (-93.589447 41.744444)","50021","(-93.589447 41.744444)",TRUE,"Elementary",c(-93.589447, 41.744444)
"17",97,"Woodbury",12,NA,4033,"",NA,8103,"Danbury Catholic School",0,6,"Amy Seuntjens","Principal","602 Peach St","","Danbury","51019",7128832244,7128832024,"dcathleadteacher@gmail.com","POINT (-95.717779 42.236783)","51019","(-95.717779 42.236783)",TRUE,"Elementary",c(-95.717779, 42.236783)
"18",82,"Scott",9,1908580,1611,"Davenport  Comm School District",190858000465,427,"Garfield Elementary School",0,5,"Tom Green","Principal","902 E 29th St","","Davenport","52803",5637236450,5634455971,"greent@davenportschools.org","POINT (-90.561397 41.549204)","52803","(-90.561397 41.549204)",TRUE,"Elementary",c(-90.561397, 41.549204)
"19",77,"Polk",11,1928680,6579,"Urbandale  Comm School District",192868001413,455,"Webster Elementary School",0,5,"Erin Shearer","Principal","12955 Aurora Avenue","","Urbandale","50323-2464",5153318600,5153318604,"shearere@urbandaleschools.com","POINT (-93.796497 41.636764)","50323","(-93.796497 41.636764)",TRUE,"Elementary",c(-93.796497, 41.636764)
"20",77,"Polk",11,1908970,1737,"Des Moines Independent  Comm School District",190897000548,616,"Jefferson Elementary School",0,5,"Mary Minard","Principal","2425 Watrous Ave","","Des Moines","50321",5152428416,5152878601,"mary.minard@dmschools.org","POINT (-93.650365 41.548238)","50321","(-93.650365 41.548238)",TRUE,"Elementary",c(-93.650365, 41.548238)
"21",82,"Scott",9,1923110,5250,"Pleasant Valley  Comm School District",192311001366,411,"Riverdale Heights Elem School",0,6,"Jennifer Gertson","Principal","2125 Devils Glen Rd","","Bettendorf","52722",5633320525,5633320224,"gertsonjennifer@pleasval.k12.ia.us","POINT (-90.483735 41.544807)","52722","(-90.483735 41.544807)",TRUE,"Elementary",c(-90.483735, 41.544807)
"22",77,"Polk",11,1903690,261,"Ankeny  Comm School District",190369002094,418,"Ashland Ridge Elementary",0,5,"Mark Moss","Principal","2600 NW Ash Drive","","Ankeny","50023",5159659594,5159659593,"mark.moss@ankenyschools.org","POINT (-93.60993900000001 41.753021)","50023","(-93.60993900000001 41.753021)",TRUE,"Elementary",c(-93.609939, 41.753021)
"23",94,"Webster",5,1911820,2313,"Fort Dodge  Comm School District",191182002171,509,"Riverside ELC",0,1,"Tabitha Acree","Principal","733 F St","","Fort Dodge","50501",5155745740,5159558818,"tacree@fort-dodge.k12.ia.us","POINT (-94.198595 42.496282)","50501","(-94.198595 42.496282)",TRUE,"Elementary",c(-94.198595, 42.496282)
"24",82,"Scott",9,NA,1611,"",NA,8109,"St Paul The Apostle School",0,8,"Julie  Delaney","Principal","1007 E Rusholme St","NULL","Davenport","52803",5633222923,5633222530,"Julie.Delaney@st-paul.pvt.k12.ia.us","POINT (-90.560599 41.54286)","52803","(-90.560599 41.54286)",TRUE,"Elementary",c(-90.560599, 41.54286)
"25",82,"Scott",9,NA,1611,"",NA,8109,"St Paul The Apostle School",0,8,"Julie  Delaney","Principal","1007 E Rusholme St","NULL","Davenport","52803",5633222923,5633222530,"Julie.Delaney@st-paul.pvt.k12.ia.us","POINT (-90.560599 41.54286)","52803","(-90.560599 41.54286)",TRUE,"Middle",c(-90.560599, 41.54286)
"26",77,"Polk",11,1930930,6957,"West Des Moines  Comm School District",193093000393,118,"Walnut Creek Campus",9,12,"Kim Davis","Principal","1020 8th Street","","West Des Moines","50265",5156336480,5156336499,"davisk@wdmcs.org","POINT (-93.713066 41.586342)","50265","(-93.713066 41.586342)",TRUE,"High",c(-93.713066, 41.586342)
"27",94,"Webster",5,1911820,2313,"Fort Dodge  Comm School District",191182000722,454,"Duncombe Elementary School",0,4,"Patrick Reding","Principal","416 So. 10th St.","","Fort Dodge","50501",5155745623,5155768774,"preding@fort-dodge.k12.ia.us","POINT (-94.183555 42.50123)","50501","(-94.183555 42.50123)",TRUE,"Elementary",c(-94.183555, 42.50123)
"28",85,"Story",11,NA,225,"",NA,8104,"St Cecilia School",0,5,"Ervin Rowlands","Principal","2900 Hoover Ave","","Ames","50010",5152325290,5152322875,"erowlands@stceciliaschoolames.org","POINT (-93.630255 42.05011)","50010","(-93.630255 42.05011)",TRUE,"Elementary",c(-93.630255, 42.05011)
"29",75,"Plymouth",12,NA,5486,"",NA,8000,"St Catherine-St Mary School System",0,12,"Dan Ryan","Superintendent","523 Madison St","PO Box 500","Remsen","51050",7127861433,7127862499,"danr@scdiocese.org","POINT (-95.96926 42.811161)","51050","(-95.96926 42.811161)",TRUE,"Elementary",c(-95.96926, 42.811161)
"30",75,"Plymouth",12,NA,5486,"",NA,8000,"St Catherine-St Mary School System",0,12,"Dan Ryan","Superintendent","523 Madison St","PO Box 500","Remsen","51050",7127861433,7127862499,"danr@scdiocese.org","POINT (-95.96926 42.811161)","51050","(-95.96926 42.811161)",TRUE,"High",c(-95.96926, 42.811161)
"31",75,"Plymouth",12,NA,5486,"",NA,8000,"St Catherine-St Mary School System",0,12,"Dan Ryan","Superintendent","523 Madison St","PO Box 500","Remsen","51050",7127861433,7127862499,"danr@scdiocese.org","POINT (-95.96926 42.811161)","51050","(-95.96926 42.811161)",TRUE,"Middle",c(-95.96926, 42.811161)
"32",77,"Polk",11,1930930,6957,"West Des Moines  Comm School District",193093001798,472,"Western Hills Elementary School",0,6,"George Panosh","Principal","600 39th St","","West Des Moines","50265",5156335900,5156335999,"panoshg@wdmcs.org","POINT (-93.756452 41.578004)","50265","(-93.756452 41.578004)",TRUE,"Elementary",c(-93.756452, 41.578004)
"33",97,"Woodbury",12,1926400,6039,"Sioux City  Comm School District",192640001530,607,"Sunnyside Elementary School",3,5,"Blair Taylor","Principal","2700 S Maple St","","Sioux City","51106-4127",7122744047,7122744680,"taylorb@live.siouxcityschools.com","POINT (-96.339947 42.46183)","51106","(-96.339947 42.46183)",TRUE,"Elementary",c(-96.339947, 42.46183)
"34",90,"Wapello",15,1922110,5049,"Ottumwa  Comm School District",192211002034,301,"Ottumwa Community Preschool",0,0,"Karie Martindale","Principal","608 E Williams","","Ottumwa","52501",6416847179,6416832650,"karie.martindale@ottumwaschools.com","POINT (-92.416676 40.998317)","52501","(-92.416676 40.998317)",TRUE,"Elementary",c(-92.416676, 40.998317)
"35",78,"Pottawattamie",13,1908220,1476,"Council Bluffs  Comm School District",190822000414,425,"Crescent Elementary School",0,5,"Janine Crain","Principal","401 East Welch Street","PO Box 17","Crescent","51526",7125453697,7125453908,"jcrain@cbcsd.org","POINT (-95.853709 41.364599)","51526","(-95.853709 41.364599)",TRUE,"Elementary",c(-95.853709, 41.364599)
"36",77,"Polk",11,1905070,720,"Bondurant-Farrar  Comm School District",190507002125,209,"Bondurant - Farrar Middle School",6,8,"Mike Kramer","Principal","300 Garfield St. SW","","Bondurant","50035",5159673711,5159579924,"mike_kramer@bondurant.k12.ia.us","POINT (-93.464561 41.698711)","50035","(-93.464561 41.698711)",TRUE,"Middle",c(-93.464561, 41.698711)
"37",77,"Polk",11,NA,1737,"",NA,8108,"Holy Family School",0,8,"Martin Flaherty","Principal","1265 E. 9th St.","NULL","Des Moines","50316",5152628025,5152629665,"mpflaherty@hfsdm.org","POINT (-93.606554 41.601732)","50316","(-93.606554 41.601732)",TRUE,"Elementary",c(-93.606554, 41.601732)
"38",77,"Polk",11,NA,1737,"",NA,8108,"Holy Family School",0,8,"Martin Flaherty","Principal","1265 E. 9th St.","NULL","Des Moines","50316",5152628025,5152629665,"mpflaherty@hfsdm.org","POINT (-93.606554 41.601732)","50316","(-93.606554 41.601732)",TRUE,"Middle",c(-93.606554, 41.601732)
"39",77,"Polk",11,1920910,4779,"North Polk  Comm School District",192091001923,412,"North Polk Central Elementary School",0,5,"Morgan Miller","Principal","311 NE 141st Ave","","Alleman","50007",5159843400,5156852304,"morgan.miller@northpolk.org","POINT (-93.61370400000001 41.818529)","50007","(-93.61370400000001 41.818529)",TRUE,"Elementary",c(-93.613704, 41.818529)
"40",78,"Pottawattamie",13,1908220,1476,"Council Bluffs  Comm School District",190822000431,544,"Roosevelt Elementary School",0,5,"Brett Abbotts","Principal","517 N 17th St","","Council Bluffs","51501",7123286528,7123286566,"babbotts@cbcsd.org","POINT (-95.869056 41.266643)","51501","(-95.869056 41.266643)",TRUE,"Elementary",c(-95.869056, 41.266643)
"41",77,"Polk",11,NA,1737,"",NA,8117,"Christ The King School",0,8,"Charles Geilenfeld","Principal","701 Wall Ave","","Des Moines","50315",5152853349,5152850381,"cgeilenfeld@cksdesmoines.com","POINT (-93.623344 41.531935)","50315","(-93.623344 41.531935)",TRUE,"Elementary",c(-93.623344, 41.531935)
"42",77,"Polk",11,NA,1737,"",NA,8117,"Christ The King School",0,8,"Charles Geilenfeld","Principal","701 Wall Ave","","Des Moines","50315",5152853349,5152850381,"cgeilenfeld@cksdesmoines.com","POINT (-93.623344 41.531935)","50315","(-93.623344 41.531935)",TRUE,"Middle",c(-93.623344, 41.531935)
"43",90,"Wapello",15,1922110,5049,"Ottumwa  Comm School District",192211001328,517,"Wilson Elementary School",0,5,"Jeff Hendred","Principal","1102 E. 4th St.","","Ottumwa","52501",6416845441,6416844934,"jeff.hendred@ottumwaschools.com","POINT (-92.399947 41.01513)","52501","(-92.399947 41.01513)",TRUE,"Elementary",c(-92.399947, 41.01513)
"44",91,"Warren",11,1914640,3114,"Indianola  Comm School District",191464000876,436,"Whittier Elementary School",0,5,"Ed  Johnson","Principal","1306 W Salem","","Indianola","50125",5159619570,5159619575,"ed.johnson@indianola.k12.ia.us","POINT (-93.57843800000002 41.360427)","50125","(-93.57843800000002 41.360427)",TRUE,"Elementary",c(-93.578438, 41.360427)
"45",77,"Polk",11,1908970,1737,"Des Moines Independent  Comm School District",190897000521,445,"Cattell Elementary School",0,5,"Tiona Sandbulte","Principal","3101 E 12th St","","Des Moines","50316",5152428403,5152661605,"tiona.sandbulte@dmschools.org","POINT (-93.604747 41.623238)","50316","(-93.604747 41.623238)",TRUE,"Elementary",c(-93.604747, 41.623238)
"46",77,"Polk",11,1908970,1737,"Des Moines Independent  Comm School District",190897001596,435,"Carver Elementary",0,5,"Jill Burnett-Requist","Principal","705 E University Ave","","Des Moines","50316",5152428418,5152621095,"jill.burnettrequist@dmschools.org","POINT (-93.610485 41.600358)","50316","(-93.610485 41.600358)",TRUE,"Elementary",c(-93.610485, 41.600358)
"47",82,"Scott",9,1908580,1611,"Davenport  Comm School District",190858000470,463,"Hayes Elementary School",0,5,"Sara Gott","Principal","622 S Concord St","","Davenport","52802",5637236600,5634455973,"gottsa@davenportschools.org","POINT (-90.622255 41.512529)","52802","(-90.622255 41.512529)",TRUE,"Elementary",c(-90.622255, 41.512529)
"48",86,"Tama",7,1900022,6536,"Union  Comm School District",190002202013,250,"Union Middle School",6,8,"Mark Albertsen","Principal","505 West","","Dysart","52224-0159",3194765100,3194762385,"m_albertsen@union.k12.ia.us","POINT (-92.314171 42.168664)","52224","(-92.314171 42.168664)",TRUE,"Middle",c(-92.314171, 42.168664)
"49",88,"Union",13,NA,1503,"",NA,8101,"St Malachy School",0,8,"Jennifer Simmons","Principal","403 W Clark","","Creston","50801",6417827125,6417825924,"jsimmons@crestonstmalachy.org","POINT (-94.36466 41.054979)","50801","(-94.36466 41.054979)",TRUE,"Elementary",c(-94.36466, 41.054979)
"50",88,"Union",13,NA,1503,"",NA,8101,"St Malachy School",0,8,"Jennifer Simmons","Principal","403 W Clark","","Creston","50801",6417827125,6417825924,"jsimmons@crestonstmalachy.org","POINT (-94.36466 41.054979)","50801","(-94.36466 41.054979)",TRUE,"Middle",c(-94.36466, 41.054979)
"51",78,"Pottawattamie",13,1927990,6460,"Tri-Center  Comm School District",192799001630,417,"Tri-Center Elementary School",0,5,"Jami Helgenberger","Principal","33980 310th St","","Neola","51559",7124852271,7124852027,"jhelgenberger@tctrojans.org","POINT (-95.594112 41.504331)","51559","(-95.594112 41.504331)",TRUE,"Elementary",c(-95.594112, 41.504331)
"52",77,"Polk",11,NA,1737,"",NA,8120,"Sterling West - Des Moines",3,12,"John Van Ess","Coordinator/Department Head","3720 E 29th St","","Des Moines","50317-4230",5152665065,5152637035,"John.vaness@sterlinged.org","POINT (-93.56120200000001 41.628854)","50317","(-93.56120200000001 41.628854)",TRUE,"Elementary",c(-93.561202, 41.628854)
"53",77,"Polk",11,NA,1737,"",NA,8120,"Sterling West - Des Moines",3,12,"John Van Ess","Coordinator/Department Head","3720 E 29th St","","Des Moines","50317-4230",5152665065,5152637035,"John.vaness@sterlinged.org","POINT (-93.56120200000001 41.628854)","50317","(-93.56120200000001 41.628854)",TRUE,"High",c(-93.561202, 41.628854)
"54",77,"Polk",11,NA,1737,"",NA,8120,"Sterling West - Des Moines",3,12,"John Van Ess","Coordinator/Department Head","3720 E 29th St","","Des Moines","50317-4230",5152665065,5152637035,"John.vaness@sterlinged.org","POINT (-93.56120200000001 41.628854)","50317","(-93.56120200000001 41.628854)",TRUE,"Middle",c(-93.561202, 41.628854)
"55",77,"Polk",11,NA,6579,"",NA,8112,"St Pius X School",0,8,"Mary Jo Kever","Principal","3601 66th St","","Urbandale","50322-3499",5152761061,5152760350,"mkever@stpiusxschool.org","POINT (-93.70737600000001 41.628647)","50322","(-93.70737600000001 41.628647)",TRUE,"Elementary",c(-93.707376, 41.628647)
"56",77,"Polk",11,NA,6579,"",NA,8112,"St Pius X School",0,8,"Mary Jo Kever","Principal","3601 66th St","","Urbandale","50322-3499",5152761061,5152760350,"mkever@stpiusxschool.org","POINT (-93.70737600000001 41.628647)","50322","(-93.70737600000001 41.628647)",TRUE,"Middle",c(-93.707376, 41.628647)
"57",17,"Cerro Gordo",7,NA,4131,"",NA,8401,"North Iowa Christian School",0,12,"Janna Voss","Principal","680 6th St. SE","","Mason City","50401",6414236440,6414236440,"janna.voss@icloud.com","POINT (-93.187852 43.146193)","50401","(-93.187852 43.146193)",TRUE,"Elementary",c(-93.187852, 43.146193)
"58",17,"Cerro Gordo",7,NA,4131,"",NA,8401,"North Iowa Christian School",0,12,"Janna Voss","Principal","680 6th St. SE","","Mason City","50401",6414236440,6414236440,"janna.voss@icloud.com","POINT (-93.187852 43.146193)","50401","(-93.187852 43.146193)",TRUE,"High",c(-93.187852, 43.146193)
"59",17,"Cerro Gordo",7,NA,4131,"",NA,8401,"North Iowa Christian School",0,12,"Janna Voss","Principal","680 6th St. SE","","Mason City","50401",6414236440,6414236440,"janna.voss@icloud.com","POINT (-93.187852 43.146193)","50401","(-93.187852 43.146193)",TRUE,"Middle",c(-93.187852, 43.146193)
"60",50,"Jasper",11,1920610,4725,"Newton  Comm School District",192061002127,408,"Aurora Heights Elementary School",0,4,"Jim Gilbert","Principal","310 E 23rd St S","","Newton","50208",6417927324,6417927701,"gilbertj@newton.k12.ia.us","POINT (-93.024438 41.69578)","50208","(-93.024438 41.69578)",TRUE,"Elementary",c(-93.024438, 41.69578)
"61",51,"Jefferson",15,1911340,2169,"Fairfield  Comm School District",NA,487,"Pence Elementary",2,4,"Mr. Chuck Benge","Principal","1000 South 6th Street","","Fairfield","52556-3940",6414722957,6414726506,"chuck.benge@fairfieldsfuture.org","POINT (-91.970446 40.998036)","52556","(-91.970446 40.998036)",TRUE,"Elementary",c(-91.970446, 40.998036)
"62",57,"Linn",10,1906540,1053,"Cedar Rapids  Comm School District",190654000256,569,"Pierce Elementary School",0,5,"Kathleen Ziegler","Principal","4343 Marilyn Dr NE","","Cedar Rapids","52402",3195582373,3193780699,"KZiegler@cr.k12.ia.us","POINT (-91.675791 42.022844)","52402","(-91.675791 42.022844)",TRUE,"Elementary",c(-91.675791, 42.022844)
"63",51,"Jefferson",15,1911340,2169,"Fairfield  Comm School District",NA,486,"Washington Elementary",0,1,"Mr. Jeff Eeling","Principal","406 East Madison Avenue","","Fairfield","52556-3645",6414722110,6414695774,"jeff.eeling@fairfieldsfuture.org","POINT (-91.95837600000002 41.002989)","52556","(-91.95837600000002 41.002989)",TRUE,"Elementary",c(-91.958376, 41.002989)
"64",57,"Linn",10,1906540,1053,"Cedar Rapids  Comm School District",190654000255,558,"Nixon Elementary School",0,5,"Dee Ann Crozier","Principal","200 Nixon Dr","","Hiawatha","52233",3195582188,3192949242,"DCrozier@cr.k12.ia.us","POINT (-91.668234 42.044207)","52233","(-91.668234 42.044207)",TRUE,"Elementary",c(-91.668234, 42.044207)
"65",57,"Linn",10,1906540,1053,"Cedar Rapids  Comm School District",190654001490,610,"Grant Elementary School",0,5,"Monica Frey","Principal","254 Outlook Dr SW","","Cedar Rapids","52404",3195582020,3193982022,"mfrey@cr.k12.ia.us","POINT (-91.666068 41.950253000000004)","52404","(-91.666068 41.950253000000004)",TRUE,"Elementary",c(-91.666068, 41.950253)
"66",10,"Buchanan",7,1915330,3204,"Jesup  Comm School District",191533002017,434,"Triumph Elementary School",0,8,"Brian Pottebaum","Principal","531 Prospect","PO Box 287","Jesup","50648-0287",3198271700,3198273905,"bpottebaum@jesup.k12.ia.us","POINT (-92.015742 42.57631)","50648","(-92.015742 42.57631)",TRUE,"Elementary",c(-92.015742, 42.57631)
"67",10,"Buchanan",7,1915330,3204,"Jesup  Comm School District",191533002017,434,"Triumph Elementary School",0,8,"Brian Pottebaum","Principal","531 Prospect","PO Box 287","Jesup","50648-0287",3198271700,3198273905,"bpottebaum@jesup.k12.ia.us","POINT (-92.015742 42.57631)","50648","(-92.015742 42.57631)",TRUE,"Middle",c(-92.015742, 42.57631)
"68",7,"Black Hawk",7,1930480,6795,"Waterloo  Comm School District",193048001970,554,"Highland Elementary School",0,5,"Matthew Willand","Principal","812 Idaho St","","Waterloo","50703",3194332630,3194332633,"willandm@waterlooschools.org","POINT (-92.307839 42.496574)","50703","(-92.307839 42.496574)",TRUE,"Elementary",c(-92.307839, 42.496574)
"69",11,"Buena Vista",5,1927390,6219,"Storm Lake  Comm School District",192739000847,120,"St Lake/IA Cntrl/Buena Vista Early College HS",9,12,"Beau Ruleaux","Principal","621 Tornado Dr","","Storm Lake","50588",7127328065,7127328068,"bruleaux@slcsd.org","POINT (-95.195155 42.647886)","50588","(-95.195155 42.647886)",TRUE,"High",c(-95.195155, 42.647886)
"70",56,"Lee",15,NA,2322,"",NA,8602,"Holy Trinity Elem",0,6,"Michael Sheerin","Principal","413 Ave C","","West Point","52627-0039",3198376131,3198378112,"michael.sheerin@holytrinityschools.org","POINT (-91.453666 40.715214)","52627","(-91.453666 40.715214)",TRUE,"Elementary",c(-91.453666, 40.715214)
"71",31,"Dubuque",1,NA,6961,"",NA,8153,"Seton Catholic Elem Sch Farley Center",6,8,"Mary Smock","Principal","210 2nd Ave SE","PO Box 249","Farley","52046-0249",5637443290,5637443450,"DBQE28@arch.pvt.k12.ia.us","POINT (-91.004814 42.441847)","52046","(-91.004814 42.441847)",TRUE,"Middle",c(-91.004814, 42.441847)
"72",23,"Clinton",9,1907710,1278,"Clinton  Comm School District",190771000384,516,"Whittier Elementary School",0,5,"Brian Kenney","Principal","1310 2nd Ave S","","Clinton","52732",5632433230,5632430461,"brkenney@clintonia.org","POINT (-90.25054 41.844528)","52732","(-90.25054 41.844528)",TRUE,"Elementary",c(-90.25054, 41.844528)
"73",50,"Jasper",11,1920610,4725,"Newton  Comm School District",192061002119,467,"Woodrow Wilson Elementary School",0,4,"Todd Schuster","Principal","801 S 8th Ave West","","Newton","50208",6417927311,6417920186,"schustert@newton.k12.ia.us","POINT (-93.06222900000002 41.692838)","50208","(-93.06222900000002 41.692838)",TRUE,"Elementary",c(-93.062229, 41.692838)
"74",57,"Linn",10,NA,1053,"",NA,8220,"Isaac Newton Christian Academy",0,9,"Dean Ridder","Principal","1635 Linmar Drive NE","","Cedar Rapids","52402",3193629512,3193625610,"dridder@incaonline.org","POINT (-91.671671 42.005831)","52402","(-91.671671 42.005831)",TRUE,"Elementary",c(-91.671671, 42.005831)
"75",57,"Linn",10,NA,1053,"",NA,8220,"Isaac Newton Christian Academy",0,9,"Dean Ridder","Principal","1635 Linmar Drive NE","","Cedar Rapids","52402",3193629512,3193625610,"dridder@incaonline.org","POINT (-91.671671 42.005831)","52402","(-91.671671 42.005831)",TRUE,"Middle",c(-91.671671, 42.005831)
"76",7,"Black Hawk",7,1930480,6795,"Waterloo  Comm School District",193048001165,550,"Lou Henry Elementary School",0,5,"Jacob Young-Kent","Principal","312 Rachael St","","Waterloo","50701",3194332860,3194333040,"youngkentj2@waterlooschools.org","POINT (-92.36255 42.462662)","50701","(-92.36255 42.462662)",TRUE,"Elementary",c(-92.36255, 42.462662)
"77",57,"Linn",10,1906540,1053,"Cedar Rapids  Comm School District",190654000235,433,"Coolidge Elementary School",0,5,"Greg O'Connell","Principal","6225 1st Av SW","","Cedar Rapids","52405",3195582167,3193900470,"goconnell@cr.k12.ia.us","POINT (-91.752443 41.971291)","52405","(-91.752443 41.971291)",TRUE,"Elementary",c(-91.752443, 41.971291)
"78",14,"Carroll",11,NA,999,"",NA,8002,"Kuemper Catholic School System",0,12,"John Steffes","Other Administrator","116 South East St.","","Carroll","51401",7127923313,7127928073,"jjsteffes@kuemper.org","POINT (-94.86538900000001 42.059272)","51401","(-94.86538900000001 42.059272)",TRUE,"Elementary",c(-94.865389, 42.059272)
"79",14,"Carroll",11,NA,999,"",NA,8002,"Kuemper Catholic School System",0,12,"John Steffes","Other Administrator","116 South East St.","","Carroll","51401",7127923313,7127928073,"jjsteffes@kuemper.org","POINT (-94.86538900000001 42.059272)","51401","(-94.86538900000001 42.059272)",TRUE,"High",c(-94.865389, 42.059272)
"80",14,"Carroll",11,NA,999,"",NA,8002,"Kuemper Catholic School System",0,12,"John Steffes","Other Administrator","116 South East St.","","Carroll","51401",7127923313,7127928073,"jjsteffes@kuemper.org","POINT (-94.86538900000001 42.059272)","51401","(-94.86538900000001 42.059272)",TRUE,"Middle",c(-94.865389, 42.059272)
