"","year","county_name","dhs_service_area","judicial_district","abuse_type","occurances","County_FIPS","State_FIPS","lat","long"
"72",2017,"Lyon","1-Western","3-Third JD","Presence of Illegal Drugs in Child's System (PID)",1,"119","19",43.380497,-96.2102924
"73",2017,"Winnebago","2-Northern","2-Second JD","Physical Abuse",5,"189","19",43.3775678,-93.7341955
"74",2017,"Madison","5-Des Moines","5-FifthJD","Dangerous Substance",18,"121","19",41.3307142,-94.0155619
"75",2017,"Emmet","1-Western","3-Third JD","Presence of Illegal Drugs in Child's System (PID)",10,"063","19",43.3780225,-94.6784803
"76",2017,"OBrien","1-Western","3-Third JD","Presence of Illegal Drugs in Child's System (PID)",8,"141","19",43.0837527,-95.6248784
"77",2017,"Plymouth","1-Western","3-Third JD","Sexual Abuse",4,"149","19",42.7378346,-96.2140431
"78",2017,"Cerro Gordo","2-Northern","2-Second JD","Allows Access by Registered Sex Offender",1,"033","19",43.0815577,-93.2608184
"79",2017,"Jasper","4-Cedar Rapids","5-FifthJD","Sexual Abuse",17,"099","19",41.6860394,-93.053765
"80",2017,"Jones","4-Cedar Rapids","6-SixthJD","Presence of Illegal Drugs in Child's System (PID)",18,"105","19",42.1212397,-91.1314352
"81",2017,"Polk","5-Des Moines","5-FifthJD","Sexual Abuse",118,"153","19",41.6855048,-93.5735335
"82",2017,"Pocahontas","2-Northern","2-Second JD","Presence of Illegal Drugs in Child's System (PID)",1,"151","19",42.7341351,-94.6787466
"83",2017,"Scott","3-Eastern","7-Seventh JD","Presence of Illegal Drugs in Child's System (PID)",150,"163","19",41.6370978,-90.6232428
"84",2017,"Wapello","4-Cedar Rapids","8-Eigth JD","Physical Abuse",14,"179","19",41.0305845,-92.4094499
"85",2017,"Van Buren","4-Cedar Rapids","8-Eigth JD","Dangerous Substance",4,"177","19",40.7532294,-91.9499871
"86",2017,"Lucas","5-Des Moines","5-FifthJD","Denial of Critical Care (Neglect)",25,"117","19",41.0293738,-93.3277207
"87",2017,"OBrien","1-Western","3-Third JD","Physical Abuse",14,"141","19",43.0837527,-95.6248784
"88",2017,"Adair","5-Des Moines","5-FifthJD","Physical Abuse",6,"001","19",41.3307464,-94.4709413
"89",2017,"Guthrie","1-Western","5-FifthJD","Presence of Illegal Drugs in Child's System (PID)",3,"077","19",41.6837548,-94.501055
"90",2017,"Butler","2-Northern","2-Second JD","Dangerous Substance",1,"023","19",42.7315661,-92.7901934
"91",2017,"Clayton","2-Northern","1-First JD","Sexual Abuse",2,"043","19",42.8447493,-91.3414328
"92",2017,"Shelby","1-Western","4-FourthJD","Denial of Critical Care (Neglect)",48,"165","19",41.6850926,-95.3102113
"93",2017,"Davis","4-Cedar Rapids","8-Eigth JD","Denial of Critical Care (Neglect)",18,"051","19",40.7476891,-92.4097173
"94",2017,"Emmet","1-Western","3-Third JD","Physical Abuse",20,"063","19",43.3780225,-94.6784803
"95",2017,"Chickasaw","2-Northern","1-First JD","Sexual Abuse",4,"037","19",43.0600414,-92.3176637
"96",2017,"Fayette","2-Northern","1-First JD","Denial of Critical Care (Neglect)",66,"065","19",42.8625919,-91.8443207
"97",2017,"Hancock","2-Northern","2-Second JD","Presence of Illegal Drugs in Child's System (PID)",5,"081","19",43.0818861,-93.7342723
"98",2017,"Ringgold","5-Des Moines","5-FifthJD","Denial of Critical Care (Neglect)",10,"159","19",40.7352023,-94.2439719
"99",2017,"Montgomery","1-Western","4-FourthJD","Presence of Illegal Drugs in Child's System (PID)",1,"137","19",41.03014,-95.1563758
"100",2017,"Winnebago","2-Northern","2-Second JD","Dangerous Substance",8,"189","19",43.3775678,-93.7341955
"101",2017,"Jasper","4-Cedar Rapids","5-FifthJD","Denial of Critical Care (Neglect)",93,"099","19",41.6860394,-93.053765
"102",2017,"Wright","2-Northern","2-Second JD","Physical Abuse",6,"197","19",42.7331189,-93.7351465
"103",2017,"Marshall","2-Northern","2-Second JD","Dangerous Substance",19,"127","19",42.0358499,-92.9987706
"104",2017,"Sac","1-Western","2-Second JD","Presence of Illegal Drugs in Child's System (PID)",2,"161","19",42.3862604,-95.1053946
"105",2017,"Madison","5-Des Moines","5-FifthJD","Mental Injury",2,"121","19",41.3307142,-94.0155619
"106",2017,"Adair","5-Des Moines","5-FifthJD","Presence of Illegal Drugs in Child's System (PID)",1,"001","19",41.3307464,-94.4709413
"107",2017,"Wayne","5-Des Moines","5-FifthJD","Allows Access by Registered Sex Offender",5,"185","19",40.7394702,-93.3273639
"108",2017,"Greene","1-Western","2-Second JD","Sexual Abuse",7,"073","19",42.0362394,-94.3968356
"109",2017,"Decatur","5-Des Moines","5-FifthJD","Presence of Illegal Drugs in Child's System (PID)",1,"053","19",40.7376827,-93.7862815
"110",2017,"Franklin","2-Northern","2-Second JD","Presence of Illegal Drugs in Child's System (PID)",13,"069","19",42.7325458,-93.262473
"111",2017,"Madison","5-Des Moines","5-FifthJD","Denial of Critical Care (Neglect)",61,"121","19",41.3307142,-94.0155619
"112",2017,"Adams","5-Des Moines","5-FifthJD","Denial of Critical Care (Neglect)",23,"003","19",41.0289839,-94.6991849
"113",2017,"Bremer","2-Northern","2-Second JD","Sexual Abuse",1,"017","19",42.7745873,-92.3180548
"114",2017,"Story","5-Des Moines","2-Second JD","Presence of Illegal Drugs in Child's System (PID)",11,"169","19",42.0362415,-93.4650448
"115",2017,"Lucas","5-Des Moines","5-FifthJD","Dangerous Substance",8,"117","19",41.0293738,-93.3277207
"116",2017,"Harrison","1-Western","4-FourthJD","Physical Abuse",4,"085","19",41.6828528,-95.8169209
"117",2017,"Dubuque","3-Eastern","1-First JD","Presence of Illegal Drugs in Child's System (PID)",84,"061","19",42.468832,-90.8824564
"118",2017,"Louisa","3-Eastern","8-Eigth JD","Physical Abuse",8,"115","19",41.2185073,-91.2596184
"119",2017,"Louisa","3-Eastern","8-Eigth JD","Dangerous Substance",9,"115","19",41.2185073,-91.2596184
"120",2017,"Des Moines","3-Eastern","8-Eigth JD","Dangerous Substance",63,"057","19",40.9231829,-91.1814707
"121",2017,"Calhoun","2-Northern","2-Second JD","Physical Abuse",7,"025","19",42.3851848,-94.6404136
"122",2017,"Appanoose","4-Cedar Rapids","8-Eigth JD","Denial of Critical Care (Neglect)",90,"007","19",40.7431635,-92.8686104
"123",2017,"Emmet","1-Western","3-Third JD","Sexual Abuse",11,"063","19",43.3780225,-94.6784803
"124",2017,"OBrien","1-Western","3-Third JD","Sexual Abuse",3,"141","19",43.0837527,-95.6248784
"125",2017,"Taylor","1-Western","5-FifthJD","Allows Access by Registered Sex Offender",2,"173","19",40.7374324,-94.6964148
"126",2017,"Louisa","3-Eastern","8-Eigth JD","Presence of Illegal Drugs in Child's System (PID)",9,"115","19",41.2185073,-91.2596184
"127",2017,"Plymouth","1-Western","3-Third JD","Dangerous Substance",19,"149","19",42.7378346,-96.2140431
"128",2017,"Henry","3-Eastern","8-Eigth JD","Sexual Abuse",7,"087","19",40.9879383,-91.5445241
"129",2017,"Dickinson","1-Western","3-Third JD","Dangerous Substance",9,"059","19",43.3779848,-95.1508301
"130",2017,"Pocahontas","2-Northern","2-Second JD","Physical Abuse",5,"151","19",42.7341351,-94.6787466
"131",2017,"Clarke","5-Des Moines","5-FifthJD","Denial of Critical Care (Neglect)",48,"039","19",41.0290323,-93.7851579
"132",2017,"Winnebago","2-Northern","2-Second JD","Presence of Illegal Drugs in Child's System (PID)",6,"189","19",43.3775678,-93.7341955
"133",2017,"Johnson","4-Cedar Rapids","6-SixthJD","Denial of Critical Care (Neglect)",202,"103","19",41.6715511,-91.5880849
"134",2017,"Floyd","2-Northern","2-Second JD","Dangerous Substance",1,"067","19",43.0599208,-92.7890033
"135",2017,"Shelby","1-Western","4-FourthJD","Physical Abuse",1,"165","19",41.6850926,-95.3102113
"136",2017,"Franklin","2-Northern","2-Second JD","Sexual Abuse",1,"069","19",42.7325458,-93.262473
"137",2017,"Van Buren","4-Cedar Rapids","8-Eigth JD","Presence of Illegal Drugs in Child's System (PID)",1,"177","19",40.7532294,-91.9499871
"138",2017,"Mahaska","4-Cedar Rapids","8-Eigth JD","Presence of Illegal Drugs in Child's System (PID)",12,"123","19",41.3352035,-92.6409094
"139",2017,"Washington","4-Cedar Rapids","8-Eigth JD","Dangerous Substance",15,"183","19",41.335591,-91.7178676
"140",2017,"Des Moines","3-Eastern","8-Eigth JD","Presence of Illegal Drugs in Child's System (PID)",52,"057","19",40.9231829,-91.1814707
"141",2017,"Jefferson","4-Cedar Rapids","8-Eigth JD","Dangerous Substance",26,"101","19",41.0317596,-91.9488774
"142",2017,"Worth","2-Northern","2-Second JD","Denial of Critical Care (Neglect)",24,"195","19",43.3773984,-93.2608476
"143",2017,"Buena Vista","1-Western","3-Third JD","Dangerous Substance",19,"021","19",42.7354936,-95.151149
"144",2017,"Wright","2-Northern","2-Second JD","Dangerous Substance",18,"197","19",42.7331189,-93.7351465
"145",2017,"Ida","1-Western","3-Third JD","Presence of Illegal Drugs in Child's System (PID)",6,"093","19",42.3868747,-95.5134962
"146",2017,"Harrison","1-Western","4-FourthJD","Presence of Illegal Drugs in Child's System (PID)",3,"085","19",41.6828528,-95.8169209
"147",2017,"Winneshiek","2-Northern","1-First JD","Denial of Critical Care (Neglect)",26,"191","19",43.2906746,-91.8437074
"148",2017,"Keokuk","4-Cedar Rapids","8-Eigth JD","Mental Injury",1,"107","19",41.336465,-92.1786426
"149",2017,"Page","1-Western","4-FourthJD","Physical Abuse",10,"145","19",40.7391444,-95.1501747
"150",2017,"Des Moines","3-Eastern","8-Eigth JD","Physical Abuse",21,"057","19",40.9231829,-91.1814707
"151",2017,"Monroe","4-Cedar Rapids","8-Eigth JD","Presence of Illegal Drugs in Child's System (PID)",1,"135","19",41.0297826,-92.8689877
"152",2017,"Winneshiek","2-Northern","1-First JD","Physical Abuse",3,"191","19",43.2906746,-91.8437074
"153",2017,"Jasper","4-Cedar Rapids","5-FifthJD","Allows Access by Registered Sex Offender",13,"099","19",41.6860394,-93.053765
"154",2017,"Benton","4-Cedar Rapids","6-SixthJD","Denial of Critical Care (Neglect)",51,"011","19",42.0801864,-92.0656912
"155",2017,"Boone","5-Des Moines","2-Second JD","Presence of Illegal Drugs in Child's System (PID)",3,"015","19",42.0365493,-93.931671
"156",2017,"Grundy","2-Northern","1-First JD","Physical Abuse",4,"075","19",42.4018651,-92.7914177
"157",2017,"Scott","3-Eastern","7-Seventh JD","Physical Abuse",129,"163","19",41.6370978,-90.6232428
"158",2017,"Wapello","4-Cedar Rapids","8-Eigth JD","Denial of Critical Care (Neglect)",140,"179","19",41.0305845,-92.4094499
"159",2017,"Poweshiek","4-Cedar Rapids","8-Eigth JD","Sexual Abuse",5,"157","19",41.6864422,-92.5314684
"160",2017,"Wright","2-Northern","2-Second JD","Denial of Critical Care (Neglect)",19,"197","19",42.7331189,-93.7351465
"161",2017,"Dubuque","3-Eastern","1-First JD","Physical Abuse",33,"061","19",42.468832,-90.8824564
"162",2017,"Fayette","2-Northern","1-First JD","Mental Injury",1,"065","19",42.8625919,-91.8443207
"163",2017,"Cedar","3-Eastern","7-Seventh JD","Dangerous Substance",8,"031","19",41.7723207,-91.1324125
"164",2017,"Wapello","4-Cedar Rapids","8-Eigth JD","Sexual Abuse",9,"179","19",41.0305845,-92.4094499
"165",2017,"Marshall","2-Northern","2-Second JD","Denial of Critical Care (Neglect)",200,"127","19",42.0358499,-92.9987706
"166",2017,"Howard","2-Northern","1-First JD","Physical Abuse",1,"089","19",43.3567673,-92.3171989
"167",2017,"Dickinson","1-Western","3-Third JD","Physical Abuse",4,"059","19",43.3779848,-95.1508301
"168",2017,"Bremer","2-Northern","2-Second JD","Mental Injury",3,"017","19",42.7745873,-92.3180548
"169",2017,"Marion","5-Des Moines","5-FifthJD","Allows Access by Registered Sex Offender",1,"125","19",41.3344515,-93.0994367
"170",2017,"Des Moines","3-Eastern","8-Eigth JD","Allows Access by Registered Sex Offender",7,"057","19",40.9231829,-91.1814707
"171",2017,"Monroe","4-Cedar Rapids","8-Eigth JD","Sexual Abuse",2,"135","19",41.0297826,-92.8689877
"172",2017,"Clinton","3-Eastern","7-Seventh JD","Denial of Critical Care (Neglect)",319,"045","19",41.8980358,-90.5319724
"173",2017,"Clay","1-Western","3-Third JD","Physical Abuse",8,"041","19",43.0825804,-95.1509194
"174",2017,"Linn","4-Cedar Rapids","6-SixthJD","Sexual Abuse",35,"113","19",42.0789478,-91.5989646
"175",2017,"OBrien","1-Western","3-Third JD","Denial of Critical Care (Neglect)",74,"141","19",43.0837527,-95.6248784
"176",2017,"Clay","1-Western","3-Third JD","Denial of Critical Care (Neglect)",109,"041","19",43.0825804,-95.1509194
"177",2017,"Mitchell","2-Northern","2-Second JD","Physical Abuse",6,"131","19",43.3564124,-92.7890315
"178",2017,"Davis","4-Cedar Rapids","8-Eigth JD","Dangerous Substance",2,"051","19",40.7476891,-92.4097173
"179",2017,"Davis","4-Cedar Rapids","8-Eigth JD","Physical Abuse",2,"051","19",40.7476891,-92.4097173
"180",2017,"Floyd","2-Northern","2-Second JD","Presence of Illegal Drugs in Child's System (PID)",5,"067","19",43.0599208,-92.7890033
"181",2017,"Adams","5-Des Moines","5-FifthJD","Sexual Abuse",2,"003","19",41.0289839,-94.6991849
"182",2017,"Plymouth","1-Western","3-Third JD","Presence of Illegal Drugs in Child's System (PID)",5,"149","19",42.7378346,-96.2140431
"183",2017,"Appanoose","4-Cedar Rapids","8-Eigth JD","Physical Abuse",4,"007","19",40.7431635,-92.8686104
"184",2017,"Harrison","1-Western","4-FourthJD","Mental Injury",3,"085","19",41.6828528,-95.8169209
"185",2017,"Hancock","2-Northern","2-Second JD","Physical Abuse",7,"081","19",43.0818861,-93.7342723
"186",2017,"Scott","3-Eastern","7-Seventh JD","Mental Injury",2,"163","19",41.6370978,-90.6232428
"187",2017,"Cass","1-Western","4-FourthJD","Dangerous Substance",13,"029","19",41.3314876,-94.9278266
"188",2017,"Howard","2-Northern","1-First JD","Presence of Illegal Drugs in Child's System (PID)",1,"089","19",43.3567673,-92.3171989
"189",2017,"Lucas","5-Des Moines","5-FifthJD","Physical Abuse",4,"117","19",41.0293738,-93.3277207
"190",2017,"Woodbury","1-Western","3-Third JD","Physical Abuse",60,"193","19",42.3897169,-96.0447673
"191",2017,"Kossuth","1-Western","3-Third JD","Presence of Illegal Drugs in Child's System (PID)",2,"109","19",43.20413,-94.2067199
"192",2017,"Fayette","2-Northern","1-First JD","Allows Access by Registered Sex Offender",3,"065","19",42.8625919,-91.8443207
"193",2017,"Taylor","1-Western","5-FifthJD","Physical Abuse",2,"173","19",40.7374324,-94.6964148
"194",2017,"Emmet","1-Western","3-Third JD","Denial of Critical Care (Neglect)",116,"063","19",43.3780225,-94.6784803
"195",2017,"Jones","4-Cedar Rapids","6-SixthJD","Denial of Critical Care (Neglect)",62,"105","19",42.1212397,-91.1314352
"196",2017,"Muscatine","3-Eastern","7-Seventh JD","Allows Access by Registered Sex Offender",9,"139","19",41.4839221,-91.1127562
"197",2017,"Black Hawk","2-Northern","1-First JD","Denial of Critical Care (Neglect)",469,"013","19",42.4700957,-92.3088197
"198",2017,"Mills","1-Western","4-FourthJD","Sexual Abuse",3,"129","19",41.0334523,-95.6213267
"199",2017,"Union","5-Des Moines","5-FifthJD","Denial of Critical Care (Neglect)",129,"175","19",41.0277304,-94.2423792
"200",2017,"Bremer","2-Northern","2-Second JD","Denial of Critical Care (Neglect)",32,"017","19",42.7745873,-92.3180548
"201",2017,"Pottawattamie","1-Western","4-FourthJD","Allows Access by Registered Sex Offender",4,"155","19",41.3366123,-95.5423935
"202",2017,"Jones","4-Cedar Rapids","6-SixthJD","Physical Abuse",2,"105","19",42.1212397,-91.1314352
"203",2017,"Woodbury","1-Western","3-Third JD","Denial of Critical Care (Neglect)",585,"193","19",42.3897169,-96.0447673
"204",2017,"Buena Vista","1-Western","3-Third JD","Presence of Illegal Drugs in Child's System (PID)",7,"021","19",42.7354936,-95.151149
"205",2017,"Sac","1-Western","2-Second JD","Physical Abuse",2,"161","19",42.3862604,-95.1053946
"206",2017,"Clinton","3-Eastern","7-Seventh JD","Presence of Illegal Drugs in Child's System (PID)",48,"045","19",41.8980358,-90.5319724
"207",2017,"Cass","1-Western","4-FourthJD","Physical Abuse",3,"029","19",41.3314876,-94.9278266
"208",2017,"Lyon","1-Western","3-Third JD","Denial of Critical Care (Neglect)",41,"119","19",43.380497,-96.2102924
"209",2017,"Cedar","3-Eastern","7-Seventh JD","Presence of Illegal Drugs in Child's System (PID)",4,"031","19",41.7723207,-91.1324125
"210",2017,"Mills","1-Western","4-FourthJD","Denial of Critical Care (Neglect)",53,"129","19",41.0334523,-95.6213267
"211",2017,"Tama","4-Cedar Rapids","6-SixthJD","Presence of Illegal Drugs in Child's System (PID)",9,"171","19",42.0798117,-92.5325425
"212",2017,"Fayette","2-Northern","1-First JD","Presence of Illegal Drugs in Child's System (PID)",10,"065","19",42.8625919,-91.8443207
"213",2017,"Hancock","2-Northern","2-Second JD","Denial of Critical Care (Neglect)",25,"081","19",43.0818861,-93.7342723
"214",2017,"Tama","4-Cedar Rapids","6-SixthJD","Physical Abuse",5,"171","19",42.0798117,-92.5325425
"215",2017,"Black Hawk","2-Northern","1-First JD","Allows Access by Registered Sex Offender",5,"013","19",42.4700957,-92.3088197
"216",2017,"Buena Vista","1-Western","3-Third JD","Denial of Critical Care (Neglect)",62,"021","19",42.7354936,-95.151149
"217",2017,"Wright","2-Northern","2-Second JD","Presence of Illegal Drugs in Child's System (PID)",4,"197","19",42.7331189,-93.7351465
"218",2017,"Muscatine","3-Eastern","7-Seventh JD","Dangerous Substance",54,"139","19",41.4839221,-91.1127562
"219",2017,"Cerro Gordo","2-Northern","2-Second JD","Physical Abuse",26,"033","19",43.0815577,-93.2608184
"220",2017,"Cedar","3-Eastern","7-Seventh JD","Sexual Abuse",6,"031","19",41.7723207,-91.1324125
"221",2017,"Winneshiek","2-Northern","1-First JD","Dangerous Substance",6,"191","19",43.2906746,-91.8437074
"222",2017,"Page","1-Western","4-FourthJD","Presence of Illegal Drugs in Child's System (PID)",4,"145","19",40.7391444,-95.1501747
"223",2017,"Johnson","4-Cedar Rapids","6-SixthJD","Dangerous Substance",10,"103","19",41.6715511,-91.5880849
"224",2017,"Black Hawk","2-Northern","1-First JD","Physical Abuse",60,"013","19",42.4700957,-92.3088197
"225",2017,"Johnson","4-Cedar Rapids","6-SixthJD","Physical Abuse",32,"103","19",41.6715511,-91.5880849
"226",2017,"Mills","1-Western","4-FourthJD","Physical Abuse",4,"129","19",41.0334523,-95.6213267
"227",2017,"Bremer","2-Northern","2-Second JD","Presence of Illegal Drugs in Child's System (PID)",2,"017","19",42.7745873,-92.3180548
"228",2017,"Wapello","4-Cedar Rapids","8-Eigth JD","Dangerous Substance",31,"179","19",41.0305845,-92.4094499
"229",2017,"Clayton","2-Northern","1-First JD","Denial of Critical Care (Neglect)",50,"043","19",42.8447493,-91.3414328
"230",2017,"Hardin","2-Northern","2-Second JD","Denial of Critical Care (Neglect)",53,"083","19",42.3838803,-93.2404025
"231",2017,"Marshall","2-Northern","2-Second JD","Presence of Illegal Drugs in Child's System (PID)",21,"127","19",42.0358499,-92.9987706
"232",2017,"Lyon","1-Western","3-Third JD","Physical Abuse",4,"119","19",43.380497,-96.2102924
"233",2017,"Webster","2-Northern","2-Second JD","Denial of Critical Care (Neglect)",140,"187","19",42.4279662,-94.1817881
